"Sequence Number","band","Country","State","Region","Location","Output Frequency","Input Frequency","Call Sign","Repeater Notes","CTCSS Tones","Sponsor"
"1","","","","","Puebla","28.675","28.675","XE1SDZ","o","",""
"2","29.5-29.7 MHz (10 m)","","","","Wallace","29.6","-","W4APE","o","136.5",""
"3","29.5-29.7 MHz (10 m)","","","","Aguas Buenas","29.62","-","KP4IA","o","",""
"4","29.5-29.7 MHz (10 m)","","","","Alpine","29.62","-","KQ2H","o","146.2",""
"5","29.5-29.7 MHz (10 m)","","","","Auburn","29.62","-","N6JSL","o","156.7",""
"6","29.5-29.7 MHz (10 m)","","","","Avon","29.62","-","WR2AHL","o","",""
"7","29.5-29.7 MHz (10 m)","","","","Biloxi","29.62","-","W6CSA","o","136.5",""
"8","29.5-29.7 MHz (10 m)","","","","Credit River","29.62","-","N0KP","o","",""
"9","29.5-29.7 MHz (10 m)","","","","Culver City Baldwin Hills","29.62","-","NI8H","o","107.2",""
"10","29.5-29.7 MHz (10 m)","","","","Decatur","29.62","-","K9HGX","o","103.5",""
"11","29.5-29.7 MHz (10 m)","","","","Homestead","29.62","-","WA3PBD","o","118.8",""
"12","29.5-29.7 MHz (10 m)","","","","Kalispell","29.62","-","N7LT","o","",""
"13","29.5-29.7 MHz (10 m)","","","","Mahopac","29.62","-","KQ2H","o","146.2",""
"14","29.5-29.7 MHz (10 m)","","","","Manhattan","29.62","-","KQ2H","o","146.2",""
"15","29.5-29.7 MHz (10 m)","","","","Ottawa","29.62","-","VE3TST","o","136.5",""
"16","29.5-29.7 MHz (10 m)","","","","Rockford","29.62","-","K9AMJ","o","118.8",""
"17","29.5-29.7 MHz (10 m)","","","","San Jose","29.62","-","KD6AOG","o","127.3",""
"18","29.5-29.7 MHz (10 m)","","","","Sioux City","29.62","-","K0TFT","o","179.9",""
"19","29.5-29.7 MHz (10 m)","","","","Uxbridge","29.62","-","VE3TFM","o","103.5",""
"20","29.5-29.7 MHz (10 m)","","","","Wurtsburo Catskill Mountains","29.62","-","KQ2H","o","146.2",""
"21","29.5-29.7 MHz (10 m)","","","","Zebulon","29.62","-","WB4IUY","o","100.0",""
"22","29.5-29.7 MHz (10 m)","","","","Angier","29.64","-","NC4RA","o","82.5",""
"23","29.5-29.7 MHz (10 m)","","","","Bay Saint Louis","29.64","-","KB5MPW","o","136.5",""
"24","29.5-29.7 MHz (10 m)","","","","Bellevue","29.64","-","WB0QQK","o","",""
"25","29.5-29.7 MHz (10 m)","","","","Bristol","29.64","-","KB1CDI","o","88.5",""
"26","29.5-29.7 MHz (10 m)","","","","Carrick","29.64","-","W3PGH","o","131.8",""
"27","29.5-29.7 MHz (10 m)","","","","Charleston","29.64","-","WB8CQV","o","203.5",""
"28","29.5-29.7 MHz (10 m)","","","","Dacula","29.64","-","W4IMD","o","123.0",""
"29","29.5-29.7 MHz (10 m)","","","","Dry Fork","29.64","-","WV8ZH","o","162.2",""
"30","29.5-29.7 MHz (10 m)","","","","Huntsville Bohannon Mtn","29.64","-","KG5OQF","o","103.5",""
"31","29.5-29.7 MHz (10 m)","","","","Meadville","29.64","-","W3MIE","o","186.2",""
"32","29.5-29.7 MHz (10 m)","","","","Middletown","29.64","-","AC6VJ","o","156.7",""
"33","29.5-29.7 MHz (10 m)","","","","Nyack","29.64","-","N2ACF","o","114.8",""
"34","29.5-29.7 MHz (10 m)","","","","Providence","29.64","-","N1BS","o","67.0",""
"35","29.5-29.7 MHz (10 m)","","","","Reading","29.64","-","KA3KDL","o","",""
"36","29.5-29.7 MHz (10 m)","","","","Sharpsburg","29.64","-","AG4ZR","o","146.2",""
"37","29.5-29.7 MHz (10 m)","","","","Syracuse","29.64","-","KD2SL","o","94.8",""
"38","29.5-29.7 MHz (10 m)","","","","Tremont","29.64","-","W6PC","o","77.0",""
"39","29.5-29.7 MHz (10 m)","","","","Tucson Mt. Lemmon","29.64","-","K7RST","o","110.9",""
"40","29.5-29.7 MHz (10 m)","","","","Tuscaloosa","29.64","-","KX4I","o","",""
"41","29.5-29.7 MHz (10 m)","","","","Valparaiso","29.64","-","N9IAA","o","173.8",""
"42","29.5-29.7 MHz (10 m)","","","","Wausau","29.64","29.64","W9SM","o","",""
"43","29.5-29.7 MHz (10 m)","","","","Brooklyn","29.65","-","K9QB","o","123.0",""
"44","29.5-29.7 MHz (10 m)","","","","Houston","29.65","-","WB5ITT","o","100.0",""
"45","29.5-29.7 MHz (10 m)","","","","Anchorage","29.66","-","WL7CWE","o","110.9",""
"46","29.5-29.7 MHz (10 m)","","","","Bloomington","29.66","-","N0BVE","o","100.0",""
"47","29.5-29.7 MHz (10 m)","","","","Brooklyn","29.66","-","WB2HWW","o","114.8",""
"48","29.5-29.7 MHz (10 m)","","","","Copperopolis","29.66","-","KG6TXA","o","141.3",""
"49","29.5-29.7 MHz (10 m)","","","","Corozal","29.66","-","KP3AV","o","",""
"50","29.5-29.7 MHz (10 m)","","","","Danville","29.66","-","W9MJW","o","100.0",""
"51","29.5-29.7 MHz (10 m)","","","","Fancy Gap","29.66","-","KE4QQX","o","88.5",""
"52","29.5-29.7 MHz (10 m)","","","","Fort Worth","29.66","-","W5DFW","o","192.8",""
"53","29.5-29.7 MHz (10 m)","","","","Greens Fork","29.66","-","K9APR","o","110.9",""
"54","29.5-29.7 MHz (10 m)","","","","Holly Hill","29.66","-","KI4RF","o","100.0",""
"55","29.5-29.7 MHz (10 m)","","","","Indiana","29.66","-","W3BMD","o","131.8",""
"56","29.5-29.7 MHz (10 m)","","","","Mahopac","29.66","-","K2HR","o","74.4",""
"57","29.5-29.7 MHz (10 m)","","","","Newport","29.66","-","K4GRW","o","",""
"58","29.5-29.7 MHz (10 m)","","","","Park Ridge","29.66","-","WB9UAR","o","107.2",""
"59","29.5-29.7 MHz (10 m)","","","","Pasadena Mt. Harvard","29.66","-","N6LIZ","o","107.2",""
"60","29.5-29.7 MHz (10 m)","","","","Rocky Mount","29.66","-","N4JEH","o","",""
"61","29.5-29.7 MHz (10 m)","","","","Royalton","29.66","-","KD2WA","o","107.2",""
"62","29.5-29.7 MHz (10 m)","","","","Santa Cruz","29.66","-","K6HJU","o","156.7",""
"63","29.5-29.7 MHz (10 m)","","","","Silver Spring","29.66","-","N3AUY","o","141.3",""
"64","29.5-29.7 MHz (10 m)","","","","Summersville","29.66","-","KE4QOX","o","88.5",""
"65","29.5-29.7 MHz (10 m)","","","","Sumter","29.66","-","W4GL","o","",""
"66","29.5-29.7 MHz (10 m)","","","","Tallahassee","29.66","-","K4TLH","o","94.8",""
"67","29.5-29.7 MHz (10 m)","","","","Walton","29.66","-","K2NK","o","107.2",""
"68","29.5-29.7 MHz (10 m)","","","","Warner Robins","29.66","-","WR4MG","o","",""
"69","29.5-29.7 MHz (10 m)","","","","Wilmington","29.66","-","N4ILM","o","88.5",""
"70","29.5-29.7 MHz (10 m)","","","","Des Moines Sherman Hills","29.67","-","KD0WPK","o","103.5",""
"71","29.5-29.7 MHz (10 m)","","","","Sparta Air Bellows Gap","29.67","-","WA4PXV","o","151.4",""
"72","29.5-29.7 MHz (10 m)","","","","Apollo","29.68","449.3","N1RS","o","131.8",""
"73","29.5-29.7 MHz (10 m)","","","","Apollo","29.68","-","N1RS","o","141.3",""
"74","29.5-29.7 MHz (10 m)","","","","Bedford","29.68","-","N9UMJ","o","136.5",""
"75","29.5-29.7 MHz (10 m)","","","","Boston","29.68","-","WB2JQK","o","107.2",""
"76","29.5-29.7 MHz (10 m)","","","","Buffalo","29.68","-","AB2UK","o","107.2",""
"77","29.5-29.7 MHz (10 m)","","","","Clackamas Mount Scott","29.68","-","KR7IS","o","162.2",""
"78","29.5-29.7 MHz (10 m)","","","","Cody","29.68","-","KC7NP","o","",""
"79","29.5-29.7 MHz (10 m)","","","","Edmonds","29.68","-","W7RNB","o","",""
"80","29.5-29.7 MHz (10 m)","","","","Elko Swales Mountain","29.68","-","KE7LKO","o","100.0",""
"81","29.5-29.7 MHz (10 m)","","","","Gatineau","29.68","-","VE2REH","o","173.8",""
"82","29.5-29.7 MHz (10 m)","","","","Ingle","29.68","-","AC4DM","o","146.2",""
"83","29.5-29.7 MHz (10 m)","","","","Marlborough","29.68","-","W1MRA","o","131.8",""
"84","29.5-29.7 MHz (10 m)","","","","Middleburg","29.68","-","KA4DCS","o","146.2",""
"85","29.5-29.7 MHz (10 m)","","","","Napa Mt Veeder","29.68","-","N6TKW","o","114.8",""
"86","29.5-29.7 MHz (10 m)","","","","Nipinnawasee","29.68","-","WB6NIL","o","82.5",""
"87","29.5-29.7 MHz (10 m)","","","","Ocala","29.68","-","KA2MBE","o","",""
"88","29.5-29.7 MHz (10 m)","","","","Pleasanton Sunol Ridge","29.68","-","W6SRR","o","94.8",""
"89","29.5-29.7 MHz (10 m)","","","","Rochester","29.68","-","N2HJD","o","123.0",""
"90","29.5-29.7 MHz (10 m)","","","","Rose Hill","29.68","-","K5SOH","o","123.0",""
"91","29.5-29.7 MHz (10 m)","","","","Saint-Jospeh-du-Lac","29.68","-","VE3XFM","o","",""
"92","29.5-29.7 MHz (10 m)","","","","Salem","29.68","-","KB8MFV","o","",""
"93","29.5-29.7 MHz (10 m)","","","","South Bend","29.68","-","W9AMR","o","",""
"94","29.5-29.7 MHz (10 m)","","","","Springfield","29.68","-","N8ITF","o","88.5",""
"95","29.5-29.7 MHz (10 m)","","","","Thomasville","29.68","-","WW4DC","o","88.5",""
"96","29.5-29.7 MHz (10 m)","","","","Thunder Bay","29.68","-","VE3XFM","o","",""
"97","29.5-29.7 MHz (10 m)","","","","Versailles","29.68","-","KB9JVU","o","103.5",""
"98","29.5-29.7 MHz (10 m)","","","","White Sands Mountain Range Salinas Peak","29.68","-","WS5MR","o","100.0",""
"99","29.5-29.7 MHz (10 m)","","","","Whittier","29.68","-","KE6CIA","o","156.7",""
"100","29.5-29.7 MHz (10 m)","","","","Windham Hill","29.68","-","N1FCU","o","173.8",""
"101","29.5-29.7 MHz (10 m)","","","","Woodstock","29.68","-","WB9YWX","o","114.8",""
"102","29.5-29.7 MHz (10 m)","","","","Yauco","29.68","-","WP4MJP","o","100.0",""
"103","29.5-29.7 MHz (10 m)","","","","York","29.68","-","W3HZU","o","123.0",""
"104","29.5-29.7 MHz (10 m)","","","","Cragsmoor","29.69","-","WB2BQW","o","100.0",""
"105","51-54 MHz (6 m)","","","","Whitehorse 6m Beacon","50.03","50.03","VY1DX","o","",""
"106","51-54 MHz (6 m)","","","","Barnhart","50.5","50.4","K0AMC","o","",""
"107","51-54 MHz (6 m)","","","","Victoria","51.27","+","VE7DAT","o","",""
"108","51-54 MHz (6 m)","","","","La Paz","51.5","51.5","XE2HQV","o","123.0",""
"109","51-54 MHz (6 m)","","","","Taos Picuris Peak","51.5","51.5","KF5PFO","o","100.0",""
"110","51-54 MHz (6 m)","","","","Williamsport Bald Eagle Mountain","51.52","51.52","KB3AWQ","o","173.8",""
"111","51-54 MHz (6 m)","","","","Conyers","51.55","-","WB4JEH","o","151.4",""
"112","51-54 MHz (6 m)","","","","Bayamon","51.62","-","WP3BM","c","136.5",""
"113","51-54 MHz (6 m)","","","","Delevan","51.62","-","WB2JPQ","o","88.5",""
"114","51-54 MHz (6 m)","","","","Gore","51.62","+","VE1OM","o","",""
"115","51-54 MHz (6 m)","","","","Mayfield Heights","51.62","-","N8QBB","o","",""
"116","51-54 MHz (6 m)","","","","Pleasant Lake","51.62","51.12","KA8ZXX","o","100.0",""
"117","51-54 MHz (6 m)","","","","Brandon","51.64","-","W4HSO","o","141.3",""
"118","51-54 MHz (6 m)","","","","Ossipee","51.64","-","W1BST","o","131.8",""
"119","51-54 MHz (6 m)","","","","Royalton","51.64","-","KD2WA","o","107.2",""
"120","51-54 MHz (6 m)","","","","Anchorage","51.65","-","WL7CWE","o","103.5",""
"121","51-54 MHz (6 m)","","","","Fairborn","51.66","-","KI6SZ","o","",""
"122","51-54 MHz (6 m)","","","","Hornell","51.66","-","KD2WA","o","110.9",""
"123","51-54 MHz (6 m)","","","","Litchfield","51.66","-","W8EOC","o","107.2",""
"124","51-54 MHz (6 m)","","","","Albuquerque Sandia Crest","51.7","-","WB5IUZ","o","156.7",""
"125","51-54 MHz (6 m)","","","","Auburn","51.7","-","K6IOK","o","77.0",""
"126","51-54 MHz (6 m)","","","","Lake Forest Santiago Peak","51.7","-","K6LRB","o","82.5",""
"127","51-54 MHz (6 m)","","","","Lake Hopatcong","51.7","-","KC2DEQ","o","123.0",""
"128","51-54 MHz (6 m)","","","","Mason","51.7","-","WB8RJY","c","192.8",""
"129","51-54 MHz (6 m)","","","","Quebec City","51.7","51.7","VE2FTO","o","",""
"130","51-54 MHz (6 m)","","","","Vowinckel","51.7","-","N3GPM","o","186.2",""
"131","51-54 MHz (6 m)","","","","Escondido Palomar Mountain","51.72","-","W6JLL","o","82.5",""
"132","51-54 MHz (6 m)","","","","Hardyston","51.72","-","W2VER","o","136.5",""
"133","51-54 MHz (6 m)","","","","Kalamazoo","51.72","-","K8KZO","o","94.8",""
"134","51-54 MHz (6 m)","","","","Luquillo","51.72","-","NP4ZB","o","",""
"135","51-54 MHz (6 m)","","","","Napa","51.72","-","N6TKW","o","114.8",""
"136","51-54 MHz (6 m)","","","","New Galilee","51.72","-","KE3ED","o","",""
"137","51-54 MHz (6 m)","","","","Homestead","51.74","-","WA3PBD","o","100.0",""
"138","51-54 MHz (6 m)","","","","Panorama City","51.74","-","K6ARN","o","146.2",""
"139","51-54 MHz (6 m)","","","","Willits Laughlin Ridge","51.74","-","K7WWA","o","114.8",""
"140","51-54 MHz (6 m)","","","","Monterey","51.76","-","WE6R","c","114.8",""
"141","51-54 MHz (6 m)","","","","Nazareth","51.76","-","W3OK","o","151.4",""
"142","51-54 MHz (6 m)","","","","West Shokan Ashokan Reservoir","51.76","51.26","N2NCP","o","103.5",""
"143","51-54 MHz (6 m)","","","","Acme","51.78","-","N3QZU","o","",""
"144","51-54 MHz (6 m)","","","","Brentwood","51.78","-","K6PYP","o","82.5",""
"145","51-54 MHz (6 m)","","","","Lake Arrowhead Heaps Peak","51.78","-","W6AJP","o","167.9",""
"146","51-54 MHz (6 m)","","","","Menlo Park","51.78","-","KB7IP","o","114.8",""
"147","51-54 MHz (6 m)","","","","Guerneville McCray Mtn","51.8","-","KM6XU","o","114.8",""
"148","51-54 MHz (6 m)","","","","Johnstown","51.8","-","N3FQQ","o","",""
"149","51-54 MHz (6 m)","","","","Miramar","51.8","-","K6ARN","o","127.3",""
"150","51-54 MHz (6 m)","","","","Modesto Mt Oso","51.8","-","WD6EJF","o","136.5",""
"151","51-54 MHz (6 m)","","","","Reno Olinghouse","51.8","-","W7NV","o","110.9",""
"152","51-54 MHz (6 m)","","","","San Fernando","51.8","-","N6BKL","o","82.5",""
"153","51-54 MHz (6 m)","","","","Berkeley Vollmer Peak","51.82","-","WR6VHF","o","107.2",""
"154","51-54 MHz (6 m)","","","","Chatsworth Oat Mountain","51.82","-","W6NVY","o","82.5",""
"155","51-54 MHz (6 m)","","","","Concord Mt Diablo","51.82","-","WR6VHF","o","127.3",""
"156","51-54 MHz (6 m)","","","","Easton","51.82","-","N3LWY","o","88.5",""
"157","51-54 MHz (6 m)","","","","Fresno Black Mountain","51.82","-","WR6VHF","o","162.2",""
"158","51-54 MHz (6 m)","","","","Los Banos Basalt Peak","51.82","-","WR6VHF","o","156.7",""
"159","51-54 MHz (6 m)","","","","Mayville","51.82","-","KB8ZUZ","o","131.8",""
"160","51-54 MHz (6 m)","","","","Napa Mt St Helena","51.82","-","WR6VHF","o","151.4",""
"161","51-54 MHz (6 m)","","","","Paso Robles","51.82","-","W6HD","o","100.0",""
"162","51-54 MHz (6 m)","","","","San Ardo Williams Hill","51.82","-","WR6VHF","o","136.5",""
"163","51-54 MHz (6 m)","","","","San Mateo Skylawn Cemetery","51.82","-","WR6VHF","o","123.0",""
"164","51-54 MHz (6 m)","","","","Santa Barbara La Vigia Hill","51.82","-","K6TZ","o","82.5",""
"165","51-54 MHz (6 m)","","","","Titusville","51.82","-","WB3KFO","o","82.5",""
"166","51-54 MHz (6 m)","","","","Vacaville Mt Vaca","51.82","-","WR6VHF","o","141.3",""
"167","51-54 MHz (6 m)","","","","Camarillo Camarillo Hills","51.84","-","WB6ZCO","o","82.5",""
"168","51-54 MHz (6 m)","","","","Detroit","51.84","-","K8PLW","o","100.0",""
"169","51-54 MHz (6 m)","","","","Middletown","51.84","-","AC6VJ","o","88.5",""
"170","51-54 MHz (6 m)","","","","New Stanton","51.84","-","N3HOM","o","141.3",""
"171","51-54 MHz (6 m)","","","","Scotia","51.84","-","N7HQZ","o","114.8",""
"172","51-54 MHz (6 m)","","","","Thousand Palms Indio Hills","51.84","-","KA6GBJ","o","107.2",""
"173","51-54 MHz (6 m)","","","","Carrollton","51.86","-","K8VPJ","o","",""
"174","51-54 MHz (6 m)","","","","Catalina Island Catalina Island Airport","51.86","-","N6KNW","o","82.5",""
"175","51-54 MHz (6 m)","","","","Folsom","51.86","-","AB6LI","o","94.8",""
"176","51-54 MHz (6 m)","","","","Fredericksburg","51.86","-","W1ZFB","o","127.3",""
"177","51-54 MHz (6 m)","","","","Bakersfield Getty","51.88","-","KG6KKV","o","114.8",""
"178","51-54 MHz (6 m)","","","","Oildale","51.88","-","KG6KKV","o","114.8",""
"179","51-54 MHz (6 m)","","","","Tannersville Camelback Mountain","51.88","-","K4MTP","o","131.8",""
"180","51-54 MHz (6 m)","","","","Apollo","51.9","-","N1RS","o","141.3",""
"181","51-54 MHz (6 m)","","","","Auburn","51.9","-","W7FAT","o","100.0",""
"182","51-54 MHz (6 m)","","","","Bakersfield","51.9","-","K6ARN","o","123.0",""
"183","51-54 MHz (6 m)","","","","Bellflower Kaiser Hospital","51.9","-","K6ARN","o","82.5",""
"184","51-54 MHz (6 m)","","","","Oxnard Plains Knoll","51.9","-","W6KGB","o","82.5",""
"185","51-54 MHz (6 m)","","","","Quincy","51.9","-","W7OWC","o","103.5",""
"186","51-54 MHz (6 m)","","","","Stafford","51.9","-","K5JMP","o","",""
"187","51-54 MHz (6 m)","","","","El Cerrito Pleasants Peak","51.92","-","K6ARN","o","131.8",""
"188","51-54 MHz (6 m)","","","","Indio Indio Hills","51.92","-","WA6MDJ","o","82.5",""
"189","51-54 MHz (6 m)","","","","Los Gatos","51.92","-","KU6V","o","114.8",""
"190","51-54 MHz (6 m)","","","","Ovid","51.92","-","N8TSK","o","203.5",""
"191","51-54 MHz (6 m)","","","","Decatur","51.925","-","N5UXE","o","114.8",""
"192","51-54 MHz (6 m)","","","","Bridgeville","51.94","-","N3WX","o","131.8",""
"193","51-54 MHz (6 m)","","","","Front Royal","51.94","-","K4QJZ","o","141.3",""
"194","51-54 MHz (6 m)","","","","Kingman","51.94","-","KA6NLS","o","100.0",""
"195","51-54 MHz (6 m)","","","","Magalia","51.94","-","KC6USM","o","114.8",""
"196","51-54 MHz (6 m)","","","","Modesto  Mt Oso","51.94","-","K6GTO","o","114.8",""
"197","51-54 MHz (6 m)","","","","Schwenksville","51.94","-","AA3RE","o","88.5",""
"198","51-54 MHz (6 m)","","","","Thousand Oaks Buzzard's Roost","51.94","-","WB6RHQ","o","82.5",""
"199","51-54 MHz (6 m)","","","","Mount Pleasant","51.96","-","KA3JSD","o","141.3",""
"200","51-54 MHz (6 m)","","","","Victorville Blue Ridge","51.96","-","W6NVY","o","82.5",""
"201","51-54 MHz (6 m)","","","","Aguas Buenas","51.98","-","KP4IA","o","",""
"202","51-54 MHz (6 m)","","","","Chatsworth Oat Mountain","51.98","-","W6NVY","o","82.5",""
"203","51-54 MHz (6 m)","","","","Finleyville","51.98","-","N3OVP","o","141.3",""
"204","51-54 MHz (6 m)","","","","Mancelona","51.98","-","K8WQK","o","",""
"205","51-54 MHz (6 m)","","","","Vacaville","51.98","-","WA6CAX","o","114.8",""
"206","51-54 MHz (6 m)","","","","Renfrew","52.01","+","","o","",""
"207","51-54 MHz (6 m)","","","","Vernon","52.01","-","VA7VMR","o","110.9",""
"208","51-54 MHz (6 m)","","","","Glenwood","52.2","-","AH6GG","o","141.3",""
"209","51-54 MHz (6 m)","","","","Houston","52.25","-","K5WH","o","103.5",""
"210","51-54 MHz (6 m)","","","","North Richland Hills","52.31","-","AB5L","o","",""
"211","51-54 MHz (6 m)","","","","Victoria","52.33","52.33","VE7OVY","o","",""
"212","51-54 MHz (6 m)","","","","Chappell Hill","52.35","-","N5MBM","o","131",""
"213","51-54 MHz (6 m)","","","","Marietta Cussetta Mountain","52.37","-","WX5FL","o","136.5",""
"214","51-54 MHz (6 m)","","","","Centerville","52.45","-","WA5MC","o","",""
"215","51-54 MHz (6 m)","","","","Sturgis","52.48","-","KC0CCB","o","146.2",""
"216","51-54 MHz (6 m)","","","","Brandon","52.49","52.49","AA1PR","o","131.8",""
"217","51-54 MHz (6 m)","","","","Altadena Mt Wilson","52.5","-","W6ZOI","o","85.4",""
"218","51-54 MHz (6 m)","","","","Battle Mountain Mount Lewis","52.525","-","WA6TLW","o","",""
"219","51-54 MHz (6 m)","","","","Bismarck","52.525","52.525","N0FAZ","o","",""
"220","51-54 MHz (6 m)","","","","Bronx Signal Hill","52.56","52.56","","o","226",""
"221","51-54 MHz (6 m)","","","","El Dorado","52.56","-","W6OIU","o","107.2",""
"222","51-54 MHz (6 m)","","","","Frazier Park Frazier Mountain","52.56","-","N6BKL","o","82.5",""
"223","51-54 MHz (6 m)","","","","Prescott Mt Union","52.56","-","N7NGM","o","100.0",""
"224","51-54 MHz (6 m)","","","","Bishop Mazourka Peak","52.58","-","W6TD","o","103.5",""
"225","51-54 MHz (6 m)","","","","East Los Angeles","52.58","-","WA6QIW","o","103.5",""
"226","51-54 MHz (6 m)","","","","Nipomo","52.58","-","WA6VPL","o","82.5",""
"227","51-54 MHz (6 m)","","","","San Jose Good Samaritan Hosp","52.58","-","W6PIY","o","151.4",""
"228","51-54 MHz (6 m)","","","","Wadsworth Victoria Peak","52.58","-","WA7DG","o","114.8",""
"229","51-54 MHz (6 m)","","","","Dallas","52.59","-","W5EBQ","o","110.9",""
"230","51-54 MHz (6 m)","","","","Casmalia","52.6","-","WA6VPL","o","82.5",""
"231","51-54 MHz (6 m)","","","","Grass Valley Osborne Hill","52.6","-","WD6AXM","o","151.4",""
"232","51-54 MHz (6 m)","","","","San Diego Mt. Laguna/Cuyamaca Peak","52.6","-","K6JCC","o","107.2",""
"233","51-54 MHz (6 m)","","","","Waterford Works","52.6","52.84","KA2PFL","o","131.8",""
"234","51-54 MHz (6 m)","","","","Reno","52.61","52.61","WA6TLW","o","",""
"235","51-54 MHz (6 m)","","","","Boise Wilderness Ridge","52.62","-","WA9WSJ","o","110.9",""
"236","51-54 MHz (6 m)","","","","Calistoga","52.62","-","K6ZRX","o","114.8",""
"237","51-54 MHz (6 m)","","","","Hanover","52.62","-","K8WBG","o","123.0",""
"238","51-54 MHz (6 m)","","","","Lake Forest Santiago Peak","52.62","-","W6KRW","o","103.5",""
"239","51-54 MHz (6 m)","","","","Oakland Calistoga","52.62","-","W6MTF","o","114.8",""
"240","51-54 MHz (6 m)","","","","South Bend","52.62","52.12","N9OCB","o","",""
"241","51-54 MHz (6 m)","","","","Woodside","52.62","-","W6MTF","o","192.8",""
"242","51-54 MHz (6 m)","","","","Aukum Mount Aukum","52.64","-","W6HMT","o","88.5",""
"243","51-54 MHz (6 m)","","","","Carrick","52.64","-","W3PGH","o","131.8",""
"244","51-54 MHz (6 m)","","","","Huntington Beach","52.64","-","KB6CJZ","o","103.5",""
"245","51-54 MHz (6 m)","","","","Palo Alto Black Mountain","52.64","-","WA6FUL","o","114.8",""
"246","51-54 MHz (6 m)","","","","Roscommon","52.64","-","N8QOP","o","",""
"247","51-54 MHz (6 m)","","","","Sebastapol","52.64","-","WA6FUL","o","114.8",""
